T,o,h,l,c,v
1768982399999,89603,89737,89036,89174,721.85724
1768985999999,89174,89343,88948,89152,595.88671
1768989599999,89153,89458,89036,89068,471.94181
1768993199999,89069,89351,89035,89217,194.33249
1768996799999,89216,89350,88648,88741,796.85567
1769000399999,88741,88802,88129,88677,3033.33038
1769003999999,88676,88968,88501,88639,839.68275
1769007599999,88636,89944,88543,89762,3911.6057
1769011199999,89757,90500,89701,90230,3188.74028
1769014799999,90230,90309,87509,87534,9044.37535
1769018399999,87533,88122,87200,87894,3978.89221
1769021999999,87890,88598,87539,88429,1235.84904
1769025599999,88429,90400,88234,90312,6441.18993
1769029199999,90312,90337,89411,90145,3354.06515
1769032799999,90145,90300,89899,90207,1564.01451
1769036399999,90207,90344,89706,89721,983.10159
1769039999999,89721,90178,89293,89401,1861.62701
1769043599999,89400,89978,89393,89860,703.31899
1769047199999,89860,90156,89766,90061,492.0897
1769050799999,90061,90312,89797,89889,498.85785
1769054399999,89889,90120,89646,89842,818.05796
1769057999999,89842,90030,89769,89943,234.94129
1769061599999,89943,90023,89874,89976,541.09467
1769065199999,89977,90167,89842,90136,568.61184
1769068799999,90136,90149,89728,89764,531.97882
1769072399999,89764,89919,89708,89878,637.22702
1769075999999,89879,90086,89850,89978,270.52725
1769079599999,89979,90061,89913,90033,199.01909
1769083199999,90033,90126,89852,89897,333.15008
1769086799999,89897,90055,89828,89979,186.04902
1769090399999,89978,90300,89424,89551,1723.62844
1769093999999,89552,89679,89000,89059,2511.85024
1769097599999,89060,89420,88445,88956,2893.98233
1769101199999,88957,89231,88631,89033,2740.41649
1769104799999,89032,89593,88992,89513,1340.95012
1769108399999,89514,89770,89271,89309,1256.19494
1769111999999,89308,89917,89067,89738,2309.42571
1769115599999,89737,89900,89350,89362,943.61425
1769119199999,89362,89634,89175,89201,1540.8176
1769122799999,89202,89497,89081,89284,2468.82648
1769126399999,89284,89532,89092,89500,861.90302
1769129999999,89500,89584,89390,89458,377.87477
1769133599999,89459,89892,89459,89891,687.18328
1769137199999,89891,89918,89594,89616,415.60194
1769140799999,89616,89878,89590,89878,898.309
1769144399999,89878,90035,89828,89921,395.20571
1769147999999,89921,89921,89407,89550,1322.95793
1769151599999,89550,89766,89351,89454,1206.80047
1769155199999,89454,89635,89389,89490,584.82697
