T,o,h,l,c,v
1767956399999,3092.7,3099.8,3089,3097,6761.7762
1767959999999,3097,3105,3089,3090.9,12527.1842
1767963599999,3090.9,3096.7,3082.9,3085.1,8746.7539
1767967199999,3085.1,3110.8,3083.9,3099,22694.4532
1767970799999,3098.9,3099.8,3062.5,3078.8,56974.3578
1767974399999,3079.3,3144.2,3060.1,3112.7,83310.4424
1767977999999,3112.7,3145.3,3111.6,3133.9,24927.974
1767981599999,3133.9,3135.4,3105,3114.6,14453.9721
1767985199999,3114.6,3118.8,3075,3095.3,53711.4351
1767988799999,3094.7,3094.8,3069.6,3080.2,18055.0713
1767992399999,3080.3,3091.8,3070.7,3073.1,34283.6257
1767995999999,3073.1,3092.9,3065.7,3085.8,19789.8811
1767999599999,3085.7,3088.4,3074.8,3086.2,7961.3729
1768003199999,3086.1,3092.9,3083.7,3088.2,2853.872
1768006799999,3088.2,3089.5,3081.1,3082.7,2577.653
1768010399999,3082.6,3091,3082.6,3089.2,3652.7086
1768013999999,3089.3,3093.4,3082.7,3087.3,2429.4526
1768017599999,3087.3,3088.4,3079.4,3085.8,5595.2294
1768021199999,3085.9,3087,3078.1,3079.3,4957.9769
1768024799999,3079.4,3087.1,3079.2,3085.9,2786.0032
1768028399999,3086.1,3088,3082.7,3086.8,1405.7114
1768031999999,3086.7,3093.1,3086.7,3092,13809.2795
1768035599999,3092,3092,3086.6,3089.1,1072.1791
1768039199999,3089.1,3098.3,3088.6,3095.3,3269.7862
1768042799999,3095.3,3102.9,3093.6,3102.5,3389.9683
1768046399999,3102.3,3102.4,3094,3096.1,915.2073
1768049999999,3096.1,3102.6,3092.8,3098.5,2624.4057
1768053599999,3098.5,3098.7,3092.9,3094.1,1103.4081
1768057199999,3094.1,3095.5,3088.6,3090.8,2138.2882
1768060799999,3090.9,3095.7,3090.9,3094.8,4386.3888
1768064399999,3094.8,3097,3091.3,3094.6,1680.2727
1768067999999,3094.6,3098,3091.3,3091.7,2194.9505
1768071599999,3091.8,3093,3089.8,3091.6,2588.2263
1768075199999,3091.7,3092.9,3089.5,3091.2,1229.7032
1768078799999,3091.3,3092.3,3088.1,3088.9,1534.5489
1768082399999,3088.9,3089.5,3084,3085.2,2666.6205
1768085999999,3085.3,3088,3077.4,3079.8,9517.8175
1768089599999,3079.5,3088.9,3079.1,3086.1,2157.2991
1768093199999,3086.1,3092,3084,3091.2,6784.473
1768096799999,3091.3,3095.6,3089,3095.6,7145.1588
1768100399999,3095.6,3096.9,3091.6,3092.2,2208.045
1768103999999,3092.3,3096.9,3091.6,3096.5,1380.0112
1768107599999,3096.5,3098.7,3094.4,3097.7,7659.601
1768111199999,3097.7,3101.7,3096.2,3099.1,2015.8887
1768114799999,3099.1,3100.7,3088.6,3096.5,19851.3443
1768118399999,3096.5,3097.6,3091.7,3094.4,937.1553
1768121999999,3094.4,3107.4,3091.9,3102.6,3386.657
1768125599999,3102.7,3108.4,3098.8,3102.8,18904.9966
1768129199999,3102.8,3106.9,3101.4,3106.5,1448.4555
1768132799999,3106.5,3106.6,3102.3,3103.7,1014.5796
1768136399999,3103.9,3115.4,3103.8,3112.9,8636.7926
1768139999999,3113,3115.5,3106,3108.3,3569.2492
1768143599999,3108.3,3128.4,3108.3,3124.5,11616.8273
1768147199999,3124.5,3129.8,3109.5,3116.6,17224.3952
